title,"i_i_glide_lignum","docking_status","r_glide_cpu_time","r_i_docking_score","s_i_glide_gridfile","r_i_glide_gscore","r_i_glide_lipo","r_i_glide_hbond","r_i_glide_metal","r_i_glide_rewards","r_i_glide_evdw","r_i_glide_ecoul","r_i_glide_erotb","r_i_glide_esite","r_i_glide_emodel","r_i_glide_energy","r_i_glide_einternal"
"5T35_207",207,Done,12.657,-7.04437,"5t35-grid",-7.04437,-3.33919,-0.32,-0,-0.981297,-40.0567,-7.1542,0.765182,-0.0930958,-68.8171,-47.2109,4.38897
"5T35_208",208,Done,33.375,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_209",209,Done,27.11,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_210",210,Done,32.578,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_211",211,Done,32.094,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_212",212,Done,34.531,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_213",213,Done,35.438,-13.6666,"5t35-grid",-13.6671,-6.12373,-0.0620083,-0,-2.21144,-90.8736,-6.54395,0.255338,0,-170.234,-97.4175,8.62405
"5T35_214",214,Done,26.187,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_215",215,Done,35.454,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_216",216,Done,25.859,-10.5008,"5t35-grid",-10.5011,-4.51958,0,-0,-1.72759,-72.6338,-5.86437,0.257431,0,-127.461,-78.4982,5.08118
"5T35_217",217,Done,31.672,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_218",218,Done,35.157,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_219",219,Done,25.172,-13.0864,"5t35-grid",-13.0869,-5.29749,-0.601174,-0,-1.81008,-84.4474,-9.40723,0.276888,-0.0215591,-162.743,-93.8547,6.36906
"5T35_220",220,Done,31.281,-10.8706,"5t35-grid",-10.871,-4.75044,0,-0,-1.88702,-74.6487,-4.91412,0.245509,-0.00944526,-128.39,-79.5628,6.37892
"5T35_221",221,Done,26.797,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_222",222,Done,36.516,-14.903,"5t35-grid",-14.9033,-6.94557,-0.434958,-0,-1.83915,-88.063,-10.0006,0.234848,-0.0152789,-182.277,-98.0635,7.83308
"5T35_223",223,Done,29.125,-12.8441,"5t35-grid",-12.8446,-5.48949,-0.355901,-0,-1.82108,-78.0965,-10.1983,0.257431,-0.00100406,-160.935,-88.2948,5.59957
"5T35_224",224,Done,32.5,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_225",225,Done,25.906,-13.0864,"5t35-grid",-13.0869,-5.29749,-0.601174,-0,-1.81008,-84.4474,-9.40723,0.276888,-0.0215591,-162.743,-93.8547,6.36906
"5T35_226",226,Done,32.922,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_227",227,Done,27.078,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_228",228,Done,34.532,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_229",229,Done,34.547,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_230",230,Done,27.515,-12.3775,"5t35-grid",-12.378,-4.95945,-0.427045,-0,-1.70823,-79.1273,-10.456,0.245509,-0.00405541,-154.397,-89.5833,7.33268
"5T35_231",231,Done,28.875,-12.8806,"5t35-grid",-12.8811,-4.81425,-0.670375,-0,-1.62568,-78.6622,-14.0275,0.266477,0,-152.427,-92.6897,13.2547
"5T35_232",232,Done,30.312,-17.3129,"5t35-grid",-17.3133,-6.99488,-0.703846,-0,-2.2773,-93.6971,-19.1911,0.247615,-0.0214069,-221.968,-112.888,8.05553
"5T35_233",233,Done,35.188,-12.9864,"5t35-grid",-12.9868,-6.56954,0,-0,-1.6516,-86.2878,-4.3973,0.232748,-0.0244561,-160.917,-90.6851,3.35531
"5T35_234",234,Done,36.953,-14.5578,"5t35-grid",-14.5583,-6.61205,-0.32,-0,-1.82013,-90.1701,-10.1267,0.255338,-0.0339083,-170.74,-100.297,15.3003
